schema,table,table_purpose,column,data_type,nullable,default,primary_key,foreign_key,unique,column_purpose,data_classification,special_category,tenant_scope,access_roles,lawful_basis_note,retention_rule,mutability,encryption,audit_event
assessment,assessment_items,Question and task definitions,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,section_id,uuid,No,,No,assessment.assessment_sections(id),Composite/Yes,Section reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,item_type,text,No,,No,,No,Item type,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,title,text,No,,No,,No,Title,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,prompt,jsonb,No,,No,,No,Prompt,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,expected_artifacts,jsonb,No,'[]'::jsonb,No,,No,Expected artifacts,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,config,jsonb,No,'{}'::jsonb,No,,No,Config,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,display_order,integer,No,,No,,Composite/Yes,Display order,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_items,Question and task definitions,content_hash,text,No,,No,,No,Content hash,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,assessment_version_id,uuid,No,,No,assessment.assessment_versions(id),Composite/Yes,Assessment version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,section_type,text,No,,No,,No,Section type,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,title,text,No,,No,,No,Title,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,instructions,jsonb,No,,No,,No,Instructions,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,duration_seconds,integer,Yes,,No,,No,Duration seconds,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,display_order,integer,No,,No,,Composite/Yes,Display order,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_sections,Five-layer assessment sections,config,jsonb,No,'{}'::jsonb,No,,No,Config,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,id,uuid,No,gen_random_uuid(),Yes,,No,Stable record identifier,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,assessment_version_id,uuid,No,,No,assessment.assessment_versions(id),No,Assessment version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,plugin_id,uuid,Yes,,No,assessment.plugin_registry(id),No,Plugin reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,model_id,uuid,Yes,,No,assessment.model_registry(id),No,Model reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,prompt_version_id,uuid,Yes,,No,assessment.prompt_versions(id),No,Prompt version reference,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
assessment,assessment_tool_policies,Per-version tool allow-list and limits,tool_type,text,No,,No,,No,Tool type,Internal operational data,No,Inherited/global; service policy required,Authorised role by tenant and purpose,Contract/legal obligation/legitimate interests as documented; never infer consent from notice acknowledgement,Entity lifecycle schedule,Mutable through audited service command,Encrypted at rest and in transit,Required for create/update/delete/read-export where material
