requirement_id,type,actor,requirement,priority,verification,source,legal_basis,control_id,owner_module,implementation_artifact,release_gate,status,acceptance_evidence,design_surface,api_operations,database_entities,privacy_security_review,approval_owner,residual_risk
FR-IAM-01,Functional,All users / IAM administrators,"The system shall provide separate permission sets for CPF Super Admin, Employer Admin, Employer Reviewer, Candidate and approved supporting roles.",Must,Role-permission tests and negative-access tests,"BRD 7, BR-001","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-01,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Role-permission tests and negative-access tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-02,Functional,All users / IAM administrators,"The system shall enforce tenant-aware role-based access control on every API, user interface and data query.",Must,Automated authorisation and cross-tenant penetration tests,"BRD 8.1, BR-002","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-02,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Automated authorisation and cross-tenant penetration tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-03,Functional,All users / IAM administrators,Privileged users shall use multi-factor authentication; enterprise tenants should support SSO and automated provisioning.,Must,MFA policy tests; SAML/OIDC integration tests,"BRD 26, BR-041","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-03,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for MFA policy tests; SAML/OIDC integration tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/auth/login,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-04,Functional,All users / IAM administrators,"The system shall support secure session expiry, revocation, concurrent-session policy and risk-based reauthentication.",Must,Security test suite,BRD 26,"GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-04,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Security test suite,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-05,Functional,All users / IAM administrators,"Super Admin access to candidate content shall require a justified support, security, compliance or legal purpose and shall be logged.",Must,Privileged-access workflow test and audit review,"BRD 7.1, Rule 19","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-05,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Privileged-access workflow test and audit review,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/admin/privileged-access-grants,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-06,Functional,All users / IAM administrators,Candidates shall authenticate through a valid invitation and approved identity-verification method configured for the assessment.,Must,Invitation and identity scenario tests,"BRD 9.3, 9.4","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-06,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Invitation and identity scenario tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/candidate/invitations/exchange,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-07,Functional,All users / IAM administrators,"The system shall revoke access promptly when a user is removed, a reviewer is reassigned or an organisation is suspended.",Must,Lifecycle and revocation tests,"BRD 7, 20","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-07,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Lifecycle and revocation tests,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-IAM-08,Functional,All users / IAM administrators,"The system shall record successful and failed authentication, authorisation denials and privileged access events.",Must,Audit-log inspection,"BRD 23.6, 26","GDPR Arts 5(1)(f), 25 and 32; ePrivacy/national rules where applicable",CTRL-FR-IAM-08,"Identity, Access and Privileged Access",API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Audit-log inspection,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"iam.*, audit.events",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-TEN-01,Functional,CPF Super Admin; Employer Admin,The system shall create a logically isolated tenant for each employer organisation.,Must,Tenant provisioning and isolation tests,BRD 8.1,"Contract, employment/equality, consumer and sector law as applicable; controller to validate",CTRL-FR-TEN-01,Tenant and Entitlements,API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Tenant provisioning and isolation tests,Role journey + normal/loading/empty/error/denied/expired/success states,POST /v2/admin/tenants,"tenant.*, iam.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
FR-TEN-02,Functional,CPF Super Admin; Employer Admin,"The system shall maintain separate users, candidate records, campaigns, assessments, reports, audit views, retention settings and integration credentials per tenant.",Must,Data-partition validation,BRD 8.1,"GDPR Arts 5, 6, 9, 12-22, 25, 28, 30, 32-36, 44-49 as applicable",CTRL-FR-TEN-02,Tenant and Entitlements,API + service + DB + automated acceptance test,"G1 Identity, tenant and access safety",Specified; evidence not yet supplied,Automated/manual evidence for Data-partition validation,Role journey + normal/loading/empty/error/denied/expired/success states,Internal service/control or endpoint mapping to be refined during design,"tenant.*, iam.*",Required before release,Product + module owner + control owner; DPO/Legal/Compliance where cited,Unassessed until implementation and verification evidence exists
